국가이름(영어),국가이름(한국),입국규정
Ghana,가나,1단계
Gabon,가봉,1단계
Guyana,가이아나공화국,1단계
Gambia,감비아,1단계
Guatemala,과테말라,1단계
Grenada,그레나다,1단계
Greece,그리스,1단계
Guinea,기니,1단계
Guinea-Bissau,기니비사우,
Namibia,나미비아,
Nauru,나우루,
Nigeria,나이지리아,
Republic of South Sudan,남수단,
Republic of South Africa,남아프리카공화국,
Netherlands,네덜란드,1단계
Nepal,네팔,1단계
Norway,노르웨이,1단계
New Zealand,뉴질랜드,1단계
Niue,니우에,1단계
Niger,니제르,1단계
Nicaragua,니카라과,1단계
Taiwan,대만(중국),1단계
Denmark,덴마크,1단계
Dominican Republic,도미니카공화국,1단계
Dominica,도미니카연방,1단계
Germany,독일,1단계
East Timor,동티모르,1단계
Laos,라오스,1단계
Liberia,라이베리아,1단계
Latvia,라트비아,1단계
Russia,러시아,1단계
Lebanon,레바논,1단계
Lesotho,레소토,1단계
Romania,루마니아,1단계
Luxembourg,룩셈부르크,1단계
Rwanda,르완다,1단계
Libya,리비아,1단계
Lithuania,리투아니아,1단계
Liechtenstein,리히텐슈타인,1단계
Madagascar,마다가스카르,1단계
Marshall Islands,마셜제도,1단계
Micronesia,마이크로네시아,1단계
Macau,마카오(중국),1단계
Malawi,말라위,1단계
Malaysia,말레이시아,1단계
Mali,말리,1단계
Mexico,멕시코,1단계
Monaco,모나코,1단계
Morocco,모로코,1단계
Mauritius,모리셔스,1단계
Mauritania,모리타니아,1단계
Mozambique,모잠비크,1단계
Montenegro,몬테네그로,1단계
Moldova,몰도바,1단계
Maldives,몰디브,1단계
Malta,몰타,1단계
Mongolia,몽골,1단계
United States of America,미국,1단계
Myanmar,미얀마,1단계
Vanuatu,바누아투,1단계
Bahrain,바레인,1단계
Barbados,바베이도스,1단계
Bahamas,바하마,1단계
Bangladesh,방글라데시,1단계
Benin,베냉,1단계
Venezuela,베네수엘라,1단계
Vietnam,베트남,1단계
Belgium,벨기에,1단계
Belarus,벨라루스,1단계
Belize,벨리즈,1단계
Bosnia and Herzegovina,보스니아헤르체고비나,1단계
Botswana,보츠와나,1단계
Bolivia,볼리비아,1단계
Burundi,부룬디,1단계
Burkina Faso,부르키나파소,1단계
Bhutan,부탄,1단계
North Macedonia,북마케도니아,1단계
Bulgaria,불가리아,1단계
Brazil,브라질,1단계
Brunei,브루나이,1단계
Samoa,사모아,1단계
Saudi Arabia,사우디아라비아,1단계
Cyprus,사이프러스,1단계
San Marino,산마리노,1단계
Sao Tome and Principe,상투메프린시페,1단계
Senegal,세네갈,1단계
Serbia,세르비아,1단계
Seychelles ,세이셸,1단계
Saint Lucia,세인트루시아,1단계
St. Vincent and the Grenadines,세인트빈센트그레나딘,1단계
Saint Kitts and Nevis,세인트키츠네비스,1단계
Somalia,소말리아,1단계
Solomon lslands,솔로몬제도,1단계
Sudan,수단,1단계
Suriname,수리남,1단계
Sri Lanka,스리랑카,1단계
Sweden,스웨덴,1단계
Switzerland,스위스,1단계
Spain,스페인,1단계
Slovakia,슬로바키아,1단계
Slovenia,슬로베니아,1단계
Syria,시리아,1단계
Sierra Leone,시에라리온,1단계
Singapore,싱가포르,1단계
United Arab Emirates,아랍에미리트,1단계
Armenia,아르메니아,1단계
Argentina,아르헨티나,1단계
Iceland,아이슬란드,1단계
Haiti,아이티,1단계
Ireland,아일랜드,1단계
Azerbaijan,아제르바이잔,1단계
Afghanistan,아프가니스탄,1단계
Andorra,안도라,1단계
Albania,알바니아,1단계
Algeria,알제리,1단계
Angola,앙골라,1단계
Antigua and Barbuda,앤티가바부다,1단계
Eritrea,에리트레아,1단계
Kingdom of Eswatini,에스와티니,1단계
Estonia,에스토니아,1단계
Ecuador,에콰도르,1단계
Ethiopia,에티오피아,1단계
El Salvador,엘살바도르,1단계
United Kingdom,영국,1단계
Yemen,예멘,1단계
Oman,오만,1단계
Austria,오스트리아,1단계
Honduras,온두라스,1단계
Jordan,요르단,1단계
Uganda,우간다,1단계
Uruguay,우루과이,1단계
Uzbekistan,우즈베키스탄,1단계
Ukraine,우크라이나,1단계
Iraq,이라크,1단계
Iran,이란,1단계
Israel,이스라엘,1단계
Egypt,이집트,1단계
Italy,이탈리아,1단계
India,인도,1단계
Indonesia,인도네시아,1단계
Japan,일본,1단계
Jamaica,자메이카,1단계
Zambia,잠비아,1단계
Equatorial Guinea,적도기니,1단계
Georgia,조지아,1단계
China,중국,1단계
Central African Republic,중앙아프리카공화국,1단계
Djibouti,지부티,1단계
Zimbabwe,짐바브웨,1단계
Chad,차드,1단계
Czech Republic,체코,1단계
Chile,칠레,1단계
Cameroon,카메룬,1단계
CapeVerde,카보베르데,1단계
Kazakhstan,카자흐스탄,1단계
Qatar,카타르,1단계
Cambodia,캄보디아,1단계
Canada,캐나다,1단계
Kenya,케냐,1단계
Comoros ,코모로,1단계
Kosovo,코소보,1단계
CostaRica,코스타리카,1단계
Cote d Ivoire,코트디부아르,1단계
Colombia,콜롬비아,1단계
Republic of Congo,콩고,1단계
Democratic Republic of the Congo,콩고민주공화국,1단계
Cuba,쿠바,1단계
Kuwait,쿠웨이트,1단계
Cook Island,쿡제도,1단계
Croatia,크로아티아,1단계
Kyrgyzstan,키르기스스탄,1단계
Kiribati,키리바시,1단계
Tajikistan,타지키스탄,1단계
Tanzania,탄자니아,1단계
Thailand,태국,1단계
Togo,토고,1단계
Tonga,통가,1단계
Turkmenistan,투르크메니스탄,1단계
tuvalu,투발루,1단계
Tunisia,튀니지,1단계
Türkiye,튀르키예,1단계
Trinidad and Tobago,트리니다드토바고,1단계
Panama,파나마,1단계
Paraguay,파라과이,1단계
Pakistan,파키스탄,1단계
Papua New Guinea,파푸아뉴기니,1단계
Palau,팔라우,1단계
Peru,페루,1단계
Portugal,포르투갈,1단계
Poland,폴란드,1단계
France,프랑스,1단계
Fiji,피지,1단계
Finland,핀란드,1단계
Philippines,필리핀,1단계
Hungary,헝가리,1단계
Australia,호주,1단계
hongkong,홍콩(중국),1단계
